Album,Artist,Disc,Side,Song,Length
The Stranger,Billy Joel,1,A,Moving Out (Anthony's Song),
The Stranger,Billy Joel,1,A,The Stranger,
The Stranger,Billy Joel,1,A,Just The Way You Are,
The Stranger,Billy Joel,1,A,Scenes From An Italian Restaurant,
The Stranger,Billy Joel,1,B,Vienna,
The Stranger,Billy Joel,1,B,Only The Good Die Young,
The Stranger,Billy Joel,1,B,She's Always A Woman,
The Stranger,Billy Joel,1,B,Get It Right The First Time,
The Stranger,Billy Joel,1,B,Everybody Has A Dream,
Nightflight to Venus,Boney M,1,A,Nightflight To Venus,4:58
Nightflight to Venus,Boney M,1,A,Rasputin,5:50
Nightflight to Venus,Boney M,1,A,Painter Man,3:17
Nightflight to Venus,Boney M,1,A,He Was A Steppenwolf,6:52
Nightflight to Venus,Boney M,1,A,King Of The Road,2:35
Nightflight to Venus,Boney M,1,B,Rivers Of Babylon,4:23
Nightflight to Venus,Boney M,1,B,Voodoonight,3:30
Nightflight to Venus,Boney M,1,B,Brown Girl In The Ring,4:02
Nightflight to Venus,Boney M,1,B,Never Change Lovers In The Middle Of The Night,5:33
Nightflight to Venus,Boney M,1,B,Heart of Gold,4:05
Chicago Greatest Hits,Chicago,1,A,25 Or 6 To 4,
Chicago Greatest Hits,Chicago,1,A,Does Anybody Really Know What Time It Is?,
Chicago Greatest Hits,Chicago,1,A,Colour My World,
Chicago Greatest Hits,Chicago,1,A,Just You 'N' Me,
Chicago Greatest Hits,Chicago,1,A,Saturday In The Park,
Chicago Greatest Hits,Chicago,1,A,Feelin' Stronger Every Day,
Chicago Greatest Hits,Chicago,1,B,Make Me Smile,
Chicago Greatest Hits,Chicago,1,B,Wishing You Were Here,
Chicago Greatest Hits,Chicago,1,B,Call On Me,
Chicago Greatest Hits,Chicago,1,B,(I've Been) Searchin' So Long,
Chicago Greatest Hits,Chicago,1,B,Beginnings,